Language	Fraction	DepLen
Thai_2.6	4	-29.0985126495
Thai_2.6	5	-28.2814445496
Thai_2.6	6	-26.1625957489
Thai_2.6	7	-22.5303840637
Thai_2.6	8	-16.8412513733
Thai_2.6	9	-8.10616016388
Thai_2.6	10	10.7768373489
Chinese_2.6	0	-2.11477231979
Chinese_2.6	1	-18.8127098083
Chinese_2.6	2	-25.3976612091
Chinese_2.6	3	-28.9109535217
Chinese_2.6	4	-30.5726013184
Chinese_2.6	5	-30.7194442749
Chinese_2.6	6	-29.4061069489
Chinese_2.6	7	-26.5474491119
Chinese_2.6	8	-21.8220977783
Chinese_2.6	9	-14.3686389923
Chinese_2.6	10	2.11477231979
Czech_2.6	0	-2.42599964142
Czech_2.6	1	-13.6971616745
Czech_2.6	2	-17.6051044464
Czech_2.6	3	-19.6216545105
Czech_2.6	4	-20.5501785278
Czech_2.6	5	-20.64868927
Czech_2.6	6	-19.8529949188
Czech_2.6	7	-18.0210857391
Czech_2.6	8	-14.880232811
Czech_2.6	9	-9.67414951324
Czech_2.6	10	2.42599964142
North_Sami_2.6	0	1.52153396606
North_Sami_2.6	1	-3.05562400818
North_Sami_2.6	2	-4.9338092804
North_Sami_2.6	3	-6.13884449005
North_Sami_2.6	4	-6.89594364166
North_Sami_2.6	5	-7.33484458923
North_Sami_2.6	6	-7.43462371826
North_Sami_2.6	7	-7.08130693436
North_Sami_2.6	8	-6.22170066833
North_Sami_2.6	9	-4.72758245468
North_Sami_2.6	10	-1.52153396606
Icelandic_2.6	0	-6.0782251358
Icelandic_2.6	1	-17.4779758453
Icelandic_2.6	2	-20.7692012787
Icelandic_2.6	3	-22.2531661987
Icelandic_2.6	4	-22.4825839996
Icelandic_2.6	5	-21.8153190613
Icelandic_2.6	6	-20.0429401398
Icelandic_2.6	7	-17.1197872162
Icelandic_2.6	8	-12.7045631409
Icelandic_2.6	9	-6.2142124176
Icelandic_2.6	10	6.0782251358
Kurmanji_2.6	0	-1.26998257637
Kurmanji_2.6	1	-4.81592226028
Kurmanji_2.6	2	-6.23813772202
Kurmanji_2.6	3	-7.12140226364
Kurmanji_2.6	4	-7.63848400116
Kurmanji_2.6	5	-7.8416223526
Kurmanji_2.6	6	-7.78111839294
Kurmanji_2.6	7	-7.3828587532
Kurmanji_2.6	8	-6.21553850174
Kurmanji_2.6	9	-3.93605828285
Kurmanji_2.6	10	1.26998257637
Russian_2.6	0	-6.45820045471
Russian_2.6	1	-16.4797935486
Russian_2.6	2	-19.512336731
Russian_2.6	3	-20.7858524323
Russian_2.6	4	-21.0177288055
Russian_2.6	5	-20.3801670074
Russian_2.6	6	-18.8682498932
Russian_2.6	7	-16.334903717
Russian_2.6	8	-12.4782466888
Russian_2.6	9	-6.51125144958
Russian_2.6	10	6.45820045471
English_2.6	0	-3.18329668045
English_2.6	1	-8.87859153748
English_2.6	2	-10.7412958145
English_2.6	3	-11.631816864
English_2.6	4	-11.9391794205
English_2.6	5	-11.7277736664
English_2.6	6	-10.9763526917
English_2.6	7	-9.62663555145
English_2.6	8	-7.54975509644
English_2.6	9	-4.32746648788
English_2.6	10	3.18329668045
Bulgarian_2.6	0	-2.87628483772
Bulgarian_2.6	1	-7.76640939713
Bulgarian_2.6	2	-9.27572441101
Bulgarian_2.6	3	-9.9735918045
Bulgarian_2.6	4	-10.1507472992
Bulgarian_2.6	5	-9.91098499298
Bulgarian_2.6	6	-9.21690940857
Bulgarian_2.6	7	-7.97472381592
Bulgarian_2.6	8	-6.06401920319
Bulgarian_2.6	9	-3.15710663795
Bulgarian_2.6	10	2.87628483772
Persian_2.6	0	-2.37617397308
Persian_2.6	1	-13.1065158844
