"Language" "Family.x" "OSSameSideSum" "OSSameSideTotal" "OSSameSide" "OFartherThanS" "Model" "Congruence_All" "Congruence_VN" "Congruence_VP" "Congruence_V" "Congruence_VProp" "OSV" "SOV" "SVO" "AUCOptimizedCongruence" "LogOSSameSide" "LogCongruence_VN" "Language2" "Family.y" "Genus" "Family" "Together"
"66" "Spanish_2.8" "Latin_Romance" 1 15 0.0666666666666667 0.6 487657794 0.25728917462 0.254349954517 0.71093015305 0.273412200222 0.190141303359 1 27 0 1 -2.70805019960221 -1.36904418614074 "Spanish" "Latin_Romance" "Indo_European" "Latin_Romance" 1.06666666666667
"67" "Swedish_2.8" "Germanic" 2 15 0.133333333333333 0.666666666666667 875789096 0.208796124892 0.233930447362 0.273132117279 0.225100686022 0.272075090828 4 2 11 0.352941176470588 -2.01490301979227 -1.45273144087532 "Swedish" "Germanic" "Indo_European" "Germanic" 0.486274509803921
"68" "Thai_2.8" "Tai-Kadai" 1 15 0.0666666666666667 0.533333333333333 513320619 0.0812337589743 0.0322673594004 0.0270274166057 0.0804482030352 0.0135139542013 7 4 2 0.846153846153846 -2.70805019960221 -3.4336991014784 "Thai" "Tai-Kadai" "Tai-Kadai" "Tai-Kadai" 0.912820512820513
"69" "Turkish_2.8" "Turkic" 4 15 0.266666666666667 0.8 363608074 0.945849853126 0.949705317215 0.872280477368 0.941184843936 0.930351600224 12 15 0 1 -1.32175583960732 -0.0516035348071332 "Turkish" "Turkic" "Turkic" "Turkic" 1.26666666666667
"70" "Ukrainian_2.8" "Slavic" 7 15 0.466666666666667 0.666666666666667 65350125 0.367197628346 0.391461351571 0.535542446582 0.367765356461 0.353371277899 6 6 13 0.48 -0.76214005183261 -0.937868487016873 "Ukrainian" "Slavic" "Indo_European" "Slavic" 0.946666666666667
"71" "Upper_Sorbian_2.8" "Slavic" 2 15 0.133333333333333 0.6 668601236 0.431844941581 0.427780414491 0.720775544667 0.439963188289 0.418181231425 9 4 3 0.8125 -2.01490301979227 -0.849145265076563 "Upper Sorbian" "Slavic" "Indo_European" "Slavic" 0.945833333333333
"72" "Urdu_2.8" "Indic" 0 15 0 1 248185391 0.74160426684 0.967718899683 0.94832831239 0.747261741119 0.982767371051 1 12 0 1 -23.0258509299405 -0.0328136266638667 "Urdu" "Indic" "Indo_European" "Indic" 1
"73" "Uyghur_2.8" "Turkic" 2 15 0.133333333333333 0.733333333333333 845700556 0.962519032109 0.953549308061 0.979247190066 0.959271578479 0.9999400036 0 20 1 0.952380952380952 -2.01490301979227 -0.047564142472222 "Uyghur" "Turkic" "Turkic" "Turkic" 1.08571428571429
"74" "Vietnamese_2.8" "Viet-Muong" 0 15 0 0.8 159094514 0.0566280967462 0.0479753774195 1 0.0510547722084 0.104511038348 4 14 2 0.9 -23.0258509299405 -3.03706736803127 "Vietnamese" "Viet-Muong" "Viet-Muong" "Viet-Muong" 0.9
"75" "Welsh_2.8" "Celtic" 3 15 0.2 0.333333333333333 605988454 0.611736392689 0.982205147701 0.221096199815 0.756634480938 1 1 8 0 1 -1.6094379119341 -0.0179550842982818 "Welsh" "Celtic" "Indo_European" "Celtic" 1.2
"76" "Western_Armenian_2.8" "Armenian" 7 15 0.466666666666667 0.933333333333333 244438848 0.627147885189 0.637901875189 0.604737696552 0.63151885486 0.435424765931 4 2 3 0.666666666666667 -0.76214005183261 -0.449570807953316 "Western Armenian" "Armenian" "Indo_European" "Armenian" 1.13333333333333
"77" "Wolof_2.8" "Northern_Atlantic" 4 15 0.266666666666667 0.533333333333333 450636309 0.297756877507 0.0265303047912 0.591907557873 0.298230963107 0.0323964822617 0 3 19 0.136363636363636 -1.32175583960732 -3.62946761858039 "Wolof" "Northern_Atlantic" "Niger-Congo" "Northern_Atlantic" 0.403030303030303
